UF;MUNICIPIO;TIPO DE VEÍCULO;QUANTIDADE
AL;AGUA BRANCA;MOTOCICLETA;2385
AL;AGUA BRANCA;MOTONETA;141
AL;AGUA BRANCA;ONIBUS;31
AL;AGUA BRANCA;QUADRICICLO;0
AL;AGUA BRANCA;REBOQUE;25
AL;AGUA BRANCA;SEMI-REBOQUE;10
AL;AGUA BRANCA;SIDE-CAR;0
AL;AGUA BRANCA;OUTROS;0
AL;AGUA BRANCA;TRATOR ESTEI;0
AL;AGUA BRANCA;TRATOR RODAS;0
AL;AGUA BRANCA;TRICICLO;0
AL;AGUA BRANCA;UTILITARIO;5
AL;ANADIA;AUTOMOVEL;1112
AL;ANADIA;BONDE;0
AL;ANADIA;CAMINHAO;49
AL;ANADIA;CAMINHAO TRATOR;1
AL;ANADIA;CAMINHONETE;170
AL;ANADIA;CAMIONETA;96
AL;ANADIA;CHASSI PLATAF;0
AL;ANADIA;CICLOMOTOR;1
AL;ANADIA;MICRO-ONIBUS;34
AL;ANADIA;MOTOCICLETA;1193
AL;ANADIA;MOTONETA;192
AL;ANADIA;ONIBUS;49
AL;ANADIA;QUADRICICLO;0
AL;ANADIA;REBOQUE;53
AL;ANADIA;SEMI-REBOQUE;8
AL;ANADIA;SIDE-CAR;0
AL;ANADIA;OUTROS;0
AL;ANADIA;TRATOR ESTEI;0
AL;ANADIA;TRATOR RODAS;0
AL;ANADIA;TRICICLO;0
AL;ANADIA;UTILITARIO;9
AL;ARAPIRACA;AUTOMOVEL;36637
AL;ARAPIRACA;BONDE;0
AL;ARAPIRACA;CAMINHAO;3076
AL;ARAPIRACA;CAMINHAO TRATOR;500
AL;ARAPIRACA;CAMINHONETE;7400
AL;ARAPIRACA;CAMIONETA;2084
AL;ARAPIRACA;CHASSI PLATAF;1
AL;ARAPIRACA;CICLOMOTOR;1311
AL;ARAPIRACA;MICRO-ONIBUS;432
AL;ARAPIRACA;MOTOCICLETA;45961
AL;ARAPIRACA;MOTONETA;15432
AL;ARAPIRACA;ONIBUS;540
AL;ARAPIRACA;QUADRICICLO;0
AL;ARAPIRACA;REBOQUE;2178
AL;ARAPIRACA;SEMI-REBOQUE;944
AL;ARAPIRACA;SIDE-CAR;10
AL;ARAPIRACA;OUTROS;3
AL;ARAPIRACA;TRATOR ESTEI;0
AL;ARAPIRACA;TRATOR RODAS;0
AL;ARAPIRACA;TRICICLO;39
AL;ARAPIRACA;UTILITARIO;702
AL;ATALAIA;AUTOMOVEL;3846
AL;ATALAIA;BONDE;0
AL;ATALAIA;CAMINHAO;222
AL;ATALAIA;CAMINHAO TRATOR;13
AL;ATALAIA;CAMINHONETE;297
AL;ATALAIA;CAMIONETA;181
AL;ATALAIA;CHASSI PLATAF;0
AL;ATALAIA;CICLOMOTOR;71
AL;ATALAIA;MICRO-ONIBUS;43
AL;ATALAIA;MOTOCICLETA;1673
AL;ATALAIA;MOTONETA;148
AL;ATALAIA;ONIBUS;158
AL;ATALAIA;QUADRICICLO;0
AL;ATALAIA;REBOQUE;419
AL;ATALAIA;SEMI-REBOQUE;58
AL;ATALAIA;SIDE-CAR;0
AL;ATALAIA;OUTROS;0
AL;ATALAIA;TRATOR ESTEI;0
AL;ATALAIA;TRATOR RODAS;0
AL;ATALAIA;TRICICLO;2
AL;ATALAIA;UTILITARIO;25
AL;BARRA DE SANTO ANTONIO;AUTOMOVEL;999
AL;BARRA DE SANTO ANTONIO;BONDE;0
AL;BARRA DE SANTO ANTONIO;CAMINHAO;27
AL;BARRA DE SANTO ANTONIO;CAMINHAO TRATOR;4
AL;BARRA DE SANTO ANTONIO;CAMINHONETE;131
AL;BARRA DE SANTO ANTONIO;CAMIONETA;46
AL;BARRA DE SANTO ANTONIO;CHASSI PLATAF;0
AL;BARRA DE SANTO ANTONIO;CICLOMOTOR;177
AL;BARRA DE SANTO ANTONIO;MICRO-ONIBUS;6
AL;BARRA DE SANTO ANTONIO;MOTOCICLETA;852
AL;BARRA DE SANTO ANTONIO;MOTONETA;58
AL;BARRA DE SANTO ANTONIO;ONIBUS;28
AL;BARRA DE SANTO ANTONIO;QUADRICICLO;0
AL;BARRA DE SANTO ANTONIO;REBOQUE;69
AL;BARRA DE SANTO ANTONIO;SEMI-REBOQUE;15
AL;BARRA DE SANTO ANTONIO;SIDE-CAR;0
AL;BARRA DE SANTO ANTONIO;OUTROS;0
AL;BARRA DE SANTO ANTONIO;TRATOR ESTEI;0
AL;BARRA DE SANTO ANTONIO;TRATOR RODAS;0
AL;BARRA DE SANTO ANTONIO;TRICICLO;0
AL;BARRA DE SANTO ANTONIO;UTILITARIO;9
AL;BARRA DE SAO MIGUEL;AUTOMOVEL;880
AL;BARRA DE SAO MIGUEL;BONDE;0
AL;BARRA DE SAO MIGUEL;CAMINHAO;22
AL;BARRA DE SAO MIGUEL;CAMINHAO TRATOR;1
AL;BARRA DE SAO MIGUEL;CAMINHONETE;134
AL;BARRA DE SAO MIGUEL;CAMIONETA;46
